mal_id,title_eng,title_jap,episodes,year,image,trailer
53672,Violet Evergarden: Recollections,ヴァイオレット・エヴァーガーデン特別総集版,1,2021,https://cdn.myanimelist.net/images/anime/1902/143097.webp,
54029,Scissor Seven: Shadow Fate,伍六七之暗影宿命,10,2023,https://cdn.myanimelist.net/images/anime/1088/132178.webp,
54650,,映画プリキュアオールスターズF,1,2023,https://cdn.myanimelist.net/images/anime/1959/137024.webp,https://www.youtube.com/watch?v=P8pkbHX9FdY
54839,Jellyfish Can't Swim in the Night,夜のクラゲは泳げない,12,2024,https://cdn.myanimelist.net/images/anime/1834/141827.webp,https://www.youtube.com/watch?v=1sY76sX_kZQ
54870,Rascal Does Not Dream of a Knapsack Kid,青春ブタ野郎はランドセルガールの夢を見ない,1,2023,https://cdn.myanimelist.net/images/anime/1937/138379.webp,https://www.youtube.com/watch?v=hO304LM67Ow
54915,The Quintessential Quintuplets~,五等分の花嫁∽,2,2023,https://cdn.myanimelist.net/images/anime/1567/135752.webp,https://www.youtube.com/watch?v=FtiMzS9nH1s
54959,,バンドリ！It's MyGO!!!!!,13,2023,https://cdn.myanimelist.net/images/anime/1891/136948.webp,https://www.youtube.com/watch?v=YVyXE61eYCA
55016,,アイドル,1,2023,https://cdn.myanimelist.net/images/anime/1921/135489.webp,
55102,,ガールズバンドクライ,13,2024,https://cdn.myanimelist.net/images/anime/1711/140515.webp,https://www.youtube.com/watch?v=eIFTnaPXnRM
55255,Alien Stage,ALIEN STAGE (에일리언스테이지),,2022,https://cdn.myanimelist.net/images/anime/1788/135794.webp,
55655,The Demon Hunter,沧元图,26,2023,https://cdn.myanimelist.net/images/anime/1785/136462.webp,
55855,Black Butler: Public School Arc,黒執事 -寄宿学校編-,11,2024,https://cdn.myanimelist.net/images/anime/1505/141820.webp,https://www.youtube.com/watch?v=a-5NVZrsS-0
56523,Swallowed Star 3rd Season,吞噬星空 第三季,33,2022,https://cdn.myanimelist.net/images/anime/1250/138217.webp,
56524,Swallowed Star 4th Season,吞噬星空 第四季,52,2023,https://cdn.myanimelist.net/images/anime/1212/138218.webp,
58689,Genshin Impact: The Song Burning in the Embers,《原神》「烬中歌」,1,2024,https://cdn.myanimelist.net/images/anime/1229/142648.webp,
